page,product_name,price,rating,ram,product_dimention,camera,battery,processor
https://www.flipkart.com/search?q=mobiles&page=22,"Samsung Galaxy A70s (Prism Crush Black, 128 GB)","₹32,999",2,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ Display,64MP + 5MP + 8MP | 32MP Front Camera,4500 mAh Lithium Ion Battery,Qualcomm SM6150 Processor
https://www.flipkart.com/search?q=mobiles&page=22,"Apple iPhone 8 (Space Grey, 256 GB)","₹54,999",2,256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",Brand Warranty of 1 Year
https://www.flipkart.com/search?q=mobiles&page=22,Heemax H1Shine Combo of Two Mobiles,"₹1,099",4.3,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,12 months warranty
https://www.flipkart.com/search?q=mobiles&page=22,Heemax H1Shine Combo of Two Mobiles,"₹1,099",3.7,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,12 months warranty
https://www.flipkart.com/search?q=mobiles&page=20,"Nokia 3.1 (Black, 32 GB)","₹11,748",4,3 GB RAM | 32 GB ROM,13.21 cm (5.2 inch) HD Display,13MP Rear Camera,2990 mAh Battery,1 Year Warranty
https://www.flipkart.com/search?q=mobiles&page=20,"Honor 9i (Prestige Gold, 64 GB)","₹19,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,14.99 cm (5.9 inch) Full HD+ Display,16MP + 2MP | 13MP + 2MP Dual Front Camera,3340 mAh Battery,Huawei Kirin 659 Octa Core Clocked up to 2.36 GHz Processor
https://www.flipkart.com/search?q=mobiles&page=20,"Honor 9i (Aurora Blue, 64 GB)","₹19,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,14.99 cm (5.9 inch) Full HD+ Display,16MP + 2MP | 13MP + 2MP Dual Front Camera,3340 mAh Battery,Huawei Kirin 659 Octa Core Clocked up to 2.36 GHz Processor
https://www.flipkart.com/search?q=mobiles&page=20,"Celkon Diamond U (Blue & Black, 16 GB)","₹6,749",3.6,2 GB RAM | 16 GB ROM,12.7 cm (5 inch) Display,8MP Rear Camera,2500 mAh Battery,1 year
https://www.flipkart.com/search?q=mobiles&page=23,MTR MT 310,₹650,3.8,64 MB RAM | 64 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,800 mAh Battery,1 year Warranty
https://www.flipkart.com/search?q=mobiles&page=21,Kechaoda A29,"₹1,099",3.4,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Quarter QVGA Display,0.3MP Rear Camera,800 mAh Battery,10 Days Warrnty
https://www.flipkart.com/search?q=mobiles&page=21,Kechaoda A29,"₹1,099",3.8,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Quarter QVGA Display,0.3MP Rear Camera,800 mAh Battery,10 Days Warrnty
